
2022/08/04 (14:15:44) | ===> btop++ v.1.2.8
2022/08/04 (14:15:44) | INFO: Logger set to DEBUG
2022/08/04 (14:15:44) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:15:44) | INFO: Running on /dev/pts/1

2022/08/04 (14:16:02) | ===> btop++ v.1.2.8
2022/08/04 (14:16:02) | INFO: Logger set to DEBUG
2022/08/04 (14:16:02) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:16:02) | INFO: Running on /dev/pts/1
2022/08/04 (14:16:27) | DEBUG: Writing new config file
2022/08/04 (14:16:27) | INFO: Quitting! Runtime: 00:00:25

2022/08/04 (14:16:29) | ===> btop++ v.1.2.8
2022/08/04 (14:16:29) | INFO: Logger set to DEBUG
2022/08/04 (14:16:29) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:16:29) | INFO: Running on /dev/pts/1
2022/08/04 (14:16:36) | INFO: Quitting! Runtime: 00:00:07

2022/08/04 (14:16:38) | ===> btop++ v.1.2.8
2022/08/04 (14:16:38) | INFO: Logger set to DEBUG
2022/08/04 (14:16:38) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:16:38) | INFO: Running on /dev/pts/1

2022/08/04 (14:16:42) | ===> btop++ v.1.2.8
2022/08/04 (14:16:42) | INFO: Logger set to DEBUG
2022/08/04 (14:16:42) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:16:42) | INFO: Running on /dev/pts/1
2022/08/04 (14:16:55) | INFO: Quitting! Runtime: 00:00:13

2022/08/04 (14:16:58) | ===> btop++ v.1.2.8
2022/08/04 (14:16:58) | INFO: Logger set to DEBUG
2022/08/04 (14:16:58) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:16:58) | INFO: Running on /dev/pts/1
2022/08/04 (14:17:08) | INFO: Quitting! Runtime: 00:00:10

2022/08/04 (14:17:10) | ===> btop++ v.1.2.8
2022/08/04 (14:17:10) | INFO: Logger set to DEBUG
2022/08/04 (14:17:10) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:17:10) | INFO: Running on /dev/pts/1
2022/08/04 (14:18:09) | INFO: Quitting! Runtime: 00:00:59

2022/08/04 (14:18:10) | ===> btop++ v.1.2.8
2022/08/04 (14:18:10) | INFO: Logger set to DEBUG
2022/08/04 (14:18:10) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:18:10) | INFO: Running on /dev/pts/1
2022/08/04 (14:20:18) | INFO: Quitting! Runtime: 00:02:08

2022/08/04 (14:20:19) | ===> btop++ v.1.2.8
2022/08/04 (14:20:19) | INFO: Logger set to DEBUG
2022/08/04 (14:20:19) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:20:19) | INFO: Running on /dev/pts/1
2022/08/04 (14:21:42) | DEBUG: Writing new config file
2022/08/04 (14:21:42) | INFO: Quitting! Runtime: 00:01:23

2022/08/04 (14:21:43) | ===> btop++ v.1.2.8
2022/08/04 (14:21:43) | INFO: Logger set to DEBUG
2022/08/04 (14:21:43) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:21:43) | INFO: Running on /dev/pts/1
2022/08/04 (14:23:07) | INFO: Quitting! Runtime: 00:01:24

2022/08/04 (14:23:09) | ===> btop++ v.1.2.8
2022/08/04 (14:23:09) | INFO: Logger set to DEBUG
2022/08/04 (14:23:09) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:23:09) | INFO: Running on /dev/pts/1

2022/08/04 (14:23:17) | ===> btop++ v.1.2.8
2022/08/04 (14:23:17) | INFO: Logger set to DEBUG
2022/08/04 (14:23:17) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:23:17) | INFO: Running on /dev/pts/1
2022/08/04 (14:24:15) | INFO: Quitting! Runtime: 00:00:58

2022/08/04 (14:24:17) | ===> btop++ v.1.2.8
2022/08/04 (14:24:17) | INFO: Logger set to DEBUG
2022/08/04 (14:24:17) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:24:17) | INFO: Running on /dev/pts/1
2022/08/04 (14:24:28) | INFO: Quitting! Runtime: 00:00:11

2022/08/04 (14:24:29) | ===> btop++ v.1.2.8
2022/08/04 (14:24:29) | INFO: Logger set to DEBUG
2022/08/04 (14:24:29) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:24:29) | INFO: Running on /dev/pts/1
2022/08/04 (14:25:39) | INFO: Quitting! Runtime: 00:01:10

2022/08/04 (14:25:40) | ===> btop++ v.1.2.8
2022/08/04 (14:25:40) | INFO: Logger set to DEBUG
2022/08/04 (14:25:40) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:25:40) | INFO: Running on /dev/pts/1
2022/08/04 (14:26:32) | INFO: Quitting! Runtime: 00:00:52

2022/08/04 (14:26:33) | ===> btop++ v.1.2.8
2022/08/04 (14:26:33) | INFO: Logger set to DEBUG
2022/08/04 (14:26:33) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:26:33) | INFO: Running on /dev/pts/1
2022/08/04 (14:27:46) | INFO: Quitting! Runtime: 00:01:13

2022/08/04 (14:27:48) | ===> btop++ v.1.2.8
2022/08/04 (14:27:48) | INFO: Logger set to DEBUG
2022/08/04 (14:27:48) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:27:48) | INFO: Running on /dev/pts/1
2022/08/04 (14:28:48) | INFO: Quitting! Runtime: 00:01:00

2022/08/04 (14:28:49) | ===> btop++ v.1.2.8
2022/08/04 (14:28:49) | INFO: Logger set to DEBUG
2022/08/04 (14:28:49) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:28:49) | INFO: Running on /dev/pts/1
2022/08/04 (14:33:18) | DEBUG: Writing new config file
2022/08/04 (14:33:18) | INFO: Quitting! Runtime: 00:04:29

2022/08/04 (14:33:20) | ===> btop++ v.1.2.8
2022/08/04 (14:33:20) | INFO: Logger set to DEBUG
2022/08/04 (14:33:20) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:33:20) | INFO: Running on /dev/pts/1
2022/08/04 (14:33:41) | INFO: Quitting! Runtime: 00:00:21

2022/08/04 (14:33:43) | ===> btop++ v.1.2.8
2022/08/04 (14:33:43) | INFO: Logger set to DEBUG
2022/08/04 (14:33:43) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:33:43) | INFO: Running on /dev/pts/1
2022/08/04 (14:33:53) | INFO: Quitting! Runtime: 00:00:10

2022/08/04 (14:34:15) | ===> btop++ v.1.2.8
2022/08/04 (14:34:15) | INFO: Logger set to DEBUG
2022/08/04 (14:34:15) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:34:15) | INFO: Running on /dev/pts/1
2022/08/04 (14:34:55) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/04 (14:36:06) | DEBUG: Writing new config file
2022/08/04 (14:36:06) | INFO: Quitting! Runtime: 00:01:51

2022/08/04 (14:36:07) | ===> btop++ v.1.2.8
2022/08/04 (14:36:07) | INFO: Logger set to DEBUG
2022/08/04 (14:36:07) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:36:07) | INFO: Running on /dev/pts/1
2022/08/04 (14:36:15) | INFO: Quitting! Runtime: 00:00:08

2022/08/04 (14:36:16) | ===> btop++ v.1.2.8
2022/08/04 (14:36:16) | INFO: Logger set to DEBUG
2022/08/04 (14:36:16) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:36:16) | INFO: Running on /dev/pts/1
2022/08/04 (14:36:35) | INFO: Quitting! Runtime: 00:00:19

2022/08/04 (14:36:40) | ===> btop++ v.1.2.8
2022/08/04 (14:36:40) | INFO: Logger set to DEBUG
2022/08/04 (14:36:40) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:36:40) | INFO: Running on /dev/pts/1
2022/08/04 (14:37:35) | INFO: Quitting! Runtime: 00:00:55

2022/08/04 (14:37:36) | ===> btop++ v.1.2.8
2022/08/04 (14:37:36) | INFO: Logger set to DEBUG
2022/08/04 (14:37:36) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:37:36) | INFO: Running on /dev/pts/1
2022/08/04 (14:37:54) | INFO: Quitting! Runtime: 00:00:18

2022/08/04 (14:37:56) | ===> btop++ v.1.2.8
2022/08/04 (14:37:56) | INFO: Logger set to DEBUG
2022/08/04 (14:37:56) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:37:56) | INFO: Running on /dev/pts/1
2022/08/04 (14:38:57) | INFO: Quitting! Runtime: 00:01:01

2022/08/04 (14:39:00) | ===> btop++ v.1.2.8
2022/08/04 (14:39:00) | INFO: Logger set to DEBUG
2022/08/04 (14:39:00) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:39:00) | INFO: Running on /dev/pts/1
2022/08/04 (14:39:26) | INFO: Quitting! Runtime: 00:00:26

2022/08/04 (14:39:27) | ===> btop++ v.1.2.8
2022/08/04 (14:39:27) | INFO: Logger set to DEBUG
2022/08/04 (14:39:27) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:39:27) | INFO: Running on /dev/pts/1
2022/08/04 (14:41:40) | INFO: Quitting! Runtime: 00:02:13

2022/08/04 (14:42:06) | ===> btop++ v.1.2.8
2022/08/04 (14:42:06) | INFO: Logger set to DEBUG
2022/08/04 (14:42:06) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:42:06) | INFO: Running on /dev/pts/1
2022/08/04 (14:43:49) | INFO: Quitting! Runtime: 00:01:43

2022/08/04 (14:44:33) | ===> btop++ v.1.2.8
2022/08/04 (14:44:33) | INFO: Logger set to DEBUG
2022/08/04 (14:44:33) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:44:33) | INFO: Running on /dev/pts/1
2022/08/04 (14:45:31) | INFO: Quitting! Runtime: 00:00:58

2022/08/04 (14:57:55) | ===> btop++ v.1.2.8
2022/08/04 (14:57:55) | INFO: Logger set to DEBUG
2022/08/04 (14:57:55) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:57:55) | INFO: Running on /dev/pts/1
